time,data
03:15:21.18,0.09
03:15:21.19,-0.07
03:15:21.19,-0.07
03:15:21.21,-0.07
03:15:21.22,-0.08
03:15:21.23,-0.08
03:15:21.24,-0.07
03:15:21.25,-0.07
03:15:21.26,-0.06
03:15:21.27,-0.06
03:15:21.28,-0.06
03:15:21.29,-0.06
03:15:21.30,-0.05
03:15:21.31,-0.06
03:15:21.32,-0.07
03:15:21.34,-0.08
03:15:21.35,-0.07
03:15:21.36,-0.07
03:15:21.37,-0.07
03:15:21.38,-0.07
03:15:21.39,-0.06
03:15:21.40,-0.05
03:15:21.41,-0.08
03:15:21.42,-0.09
03:15:21.43,-0.09
03:15:21.45,-0.10
03:15:21.46,-0.10
03:15:21.47,-0.09
03:15:21.48,-0.09
03:15:21.49,-0.11
03:15:21.51,-0.11
03:15:21.52,-0.12
03:15:21.53,-0.10
03:15:21.54,-0.10
03:15:21.55,-0.11
03:15:21.56,-0.11
03:15:21.57,-0.10
03:15:21.58,-0.10
03:15:21.59,-0.10
03:15:21.60,-0.09
03:15:21.61,-0.10
03:15:21.62,-0.09
03:15:21.63,-0.09
03:15:21.64,-0.08
03:15:21.65,-0.09
03:15:21.66,-0.09
03:15:21.67,-0.11
03:15:21.68,-0.10
03:15:21.69,-0.09
03:15:21.70,-0.07
03:15:21.71,-0.09
03:15:21.72,-0.09
03:15:21.73,-0.09
03:15:21.74,-0.08
03:15:21.75,-0.09
03:15:21.77,-0.08
03:15:21.78,-0.07
03:15:21.80,-0.08
03:15:21.81,-0.10
03:15:21.82,-0.11
03:15:21.83,-0.09
03:15:21.84,-0.08
03:15:21.85,-0.09
03:15:21.86,-0.11
03:15:21.87,-0.11
03:15:21.88,-0.12
03:15:21.88,-0.10
03:15:21.89,-0.11
03:15:21.90,-0.10
03:15:21.91,-0.11
03:15:21.92,-0.12
03:15:21.93,-0.12
03:15:21.94,-0.11
03:15:21.95,-0.10
03:15:21.96,-0.10
03:15:21.97,-0.08
03:15:21.98,-0.08
03:15:21.98,-0.11
03:15:21.99,-0.12
03:15:21.100,-0.12
03:15:21.101,-0.11
03:15:21.102,-0.09
03:15:21.102,-0.08
03:15:21.103,-0.08
03:15:21.104,-0.09
03:15:21.105,-0.11
03:15:21.107,-0.13
03:15:21.108,-0.12
03:15:21.109,-0.12
03:15:21.110,-0.11
03:15:21.111,-0.10
03:15:21.112,-0.11
03:15:21.113,-0.11
03:15:21.114,-0.09
03:15:21.115,-0.10
03:15:21.116,-0.10
03:15:21.117,-0.09
03:15:21.118,-0.08
03:15:21.119,-0.10
03:15:21.120,-0.09
03:15:21.121,-0.10
03:15:21.122,-0.11
03:15:21.123,-0.10
03:15:21.124,-0.11
03:15:21.126,-0.10
03:15:21.127,-0.08
03:15:21.128,-0.09
03:15:21.129,-0.09
03:15:21.130,-0.09
03:15:21.131,-0.09
03:15:21.132,-0.10
03:15:21.134,-0.10
03:15:21.135,-0.09
03:15:21.135,-0.10
03:15:21.136,-0.10
03:15:21.137,-0.10
03:15:21.138,-0.09
03:15:21.139,-0.09
03:15:21.140,-0.07
03:15:21.141,-0.06
03:15:21.142,-0.05
03:15:21.143,-0.07
03:15:21.144,-0.07
03:15:21.145,-0.07
03:15:21.146,-0.07
03:15:21.147,-0.07
03:15:21.148,-0.07
03:15:21.149,-0.07
03:15:21.150,-0.07
03:15:21.151,-0.08
03:15:21.152,-0.08
03:15:21.153,-0.07
03:15:21.153,-0.08
03:15:21.155,-0.06
03:15:21.156,-0.06
03:15:21.157,-0.07
03:15:21.158,-0.07
03:15:21.158,-0.06
03:15:21.159,-0.08
03:15:21.160,-0.08
03:15:21.161,-0.08
03:15:21.162,-0.08
03:15:21.163,-0.09
03:15:21.163,-0.09
03:15:21.164,-0.09
03:15:21.165,-0.08
03:15:21.166,-0.08
03:15:21.167,-0.07
03:15:21.168,-0.07
03:15:21.169,-0.08
03:15:21.170,-0.07
03:15:21.171,-0.07
03:15:21.171,-0.06
03:15:21.173,-0.06
03:15:21.174,-0.06
03:15:21.175,-0.05
03:15:21.175,-0.06
03:15:21.176,-0.06
03:15:21.177,-0.06
03:15:21.178,-0.07
03:15:21.178,-0.08
03:15:21.179,-0.09
03:15:21.180,-0.09
03:15:21.181,-0.08
03:15:21.182,-0.06
03:15:21.182,-0.06
03:15:21.183,-0.06
03:15:21.184,-0.07
03:15:21.185,-0.07
03:15:21.186,-0.06
03:15:21.187,-0.05
03:15:21.187,-0.05
03:15:21.188,-0.05
03:15:21.189,-0.06
03:15:21.190,-0.06
03:15:21.191,-0.06
03:15:21.191,-0.06
03:15:21.192,-0.06
03:15:21.193,-0.07
03:15:21.194,-0.06
03:15:21.194,-0.05
03:15:21.195,-0.05
03:15:21.196,-0.06
03:15:21.197,-0.07
03:15:21.198,-0.08
03:15:21.198,-0.08
03:15:21.199,-0.08
03:15:21.200,-0.08
03:15:21.201,-0.06
03:15:21.202,-0.06
03:15:21.202,-0.05
03:15:21.203,-0.04
03:15:21.204,-0.05
03:15:21.204,-0.05
03:15:21.205,-0.05
03:15:21.206,-0.06
03:15:21.207,-0.06
03:15:21.207,-0.05
03:15:21.208,-0.05
03:15:21.209,-0.05
03:15:21.210,-0.05
03:15:21.211,-0.05
03:15:21.211,-0.04
03:15:21.212,-0.05
03:15:21.213,-0.04
03:15:21.213,-0.04
03:15:21.214,-0.04
03:15:21.215,-0.05
