time, data
02:57:26.515,0.02
02:57:26.516,-0.03
02:57:26.517,-0.02
02:57:26.519,-0.02
02:57:26.520,-0.01
02:57:26.521,-0.00
02:57:26.522,0.00
02:57:26.523,0.00
02:57:26.525,Disarmed
02:57:26.526,-0.01
02:57:26.527,0.00
02:57:26.528,0.01
02:57:26.529,0.01
02:57:26.530,0.01
02:57:26.531,0.00
02:57:26.533,0.01
02:57:26.534,-0.00
02:57:26.535,0.01
02:57:26.536,0.00
02:57:26.537,0.01
02:57:26.538,0.01
02:57:26.539,0.01
02:57:26.541,0.01
02:57:26.542,0.02
02:57:26.543,0.01
02:57:26.544,0.00
02:57:26.545,0.01
02:57:26.546,0.01
02:57:26.547,0.01
02:57:26.548,0.01
02:57:26.550,0.01
02:57:26.551,0.02
02:57:26.552,0.02
02:57:26.553,0.01
02:57:26.554,0.02
02:57:26.555,0.03
02:57:26.556,0.03
02:57:26.557,0.03
02:57:26.558,0.01
02:57:26.559,0.02
02:57:26.560,0.01
02:57:26.561,0.01
02:57:26.562,0.02
02:57:26.563,0.01
02:57:26.563,0.02
02:57:26.565,0.02
02:57:26.566,0.01
02:57:26.567,0.01
02:57:26.568,0.01
02:57:26.569,0.02
02:57:26.570,0.02
02:57:26.571,0.03
02:57:26.572,0.03
02:57:26.574,0.03
02:57:26.575,0.02
02:57:26.576,0.02
02:57:26.577,0.03
02:57:26.578,0.03
02:57:26.580,0.03
02:57:26.581,0.04
02:57:26.582,0.04
02:57:26.583,0.03
02:57:26.583,0.03
02:57:26.584,0.03
02:57:26.585,0.03
02:57:26.586,0.03
02:57:26.587,0.03
02:57:26.588,0.03
02:57:26.589,0.03
02:57:26.590,0.03
02:57:26.591,0.03
02:57:26.592,0.04
02:57:26.593,0.04
02:57:26.594,0.03
02:57:26.595,0.04
02:57:26.599,0.04
02:57:26.601,0.03
02:57:26.603,0.03
02:57:26.604,0.03
02:57:26.605,0.04
02:57:26.606,0.04
02:57:26.607,0.03
02:57:26.608,0.03
02:57:26.609,0.03
02:57:26.610,0.04
02:57:26.611,0.04
02:57:26.612,0.04
02:57:26.613,0.04
02:57:26.614,0.04
02:57:26.615,0.03
02:57:26.616,0.03
02:57:26.617,0.03
02:57:26.618,0.03
02:57:26.619,0.04
02:57:26.620,0.03
02:57:26.621,0.04
02:57:26.622,0.04
02:57:26.623,0.04
02:57:26.624,0.04
02:57:26.625,0.04
02:57:26.626,0.03
02:57:26.626,0.04
02:57:26.627,0.04
02:57:26.628,0.03
02:57:26.629,0.04
02:57:26.629,0.04
02:57:26.631,0.03
02:57:26.632,0.03
02:57:26.633,0.04
02:57:26.634,0.04
02:57:26.635,0.04
02:57:26.636,0.04
02:57:26.637,0.03
02:57:26.638,0.04
02:57:26.639,0.04
02:57:26.640,0.04
02:57:26.641,0.04
02:57:26.642,0.04
02:57:26.642,0.04
02:57:26.643,0.04
02:57:26.644,0.04
02:57:26.645,0.04
02:57:26.646,0.04
02:57:26.647,0.04
02:57:26.648,0.03
02:57:26.648,0.04
02:57:26.649,0.04
02:57:26.650,0.03
02:57:26.651,0.03
02:57:26.652,0.03
02:57:26.653,0.03
02:57:26.654,0.04
02:57:26.655,0.04
02:57:26.656,0.04
02:57:26.657,0.03
02:57:26.657,0.04
02:57:26.659,0.03
02:57:26.660,0.04
02:57:26.661,0.04
02:57:26.661,0.04
02:57:26.662,0.04
02:57:26.663,0.04
02:57:26.664,0.04
02:57:26.665,0.05
02:57:26.666,0.04
02:57:26.667,0.04
02:57:26.668,0.04
02:57:26.669,0.04
02:57:26.670,0.04
02:57:26.671,0.04
02:57:26.677,0.04
02:57:26.679,0.03
02:57:26.680,0.04
02:57:26.681,0.04
02:57:26.682,0.05
02:57:26.684,0.05
02:57:26.685,0.06
02:57:26.686,0.05
02:57:26.687,0.04
02:57:26.688,0.04
02:57:26.689,0.03
02:57:26.690,0.04
02:57:26.691,0.04
02:57:26.692,0.04
02:57:26.693,0.05
02:57:26.694,0.06
02:57:26.695,0.05
02:57:26.696,0.06
02:57:26.697,0.06
02:57:26.698,0.05
02:57:26.700,0.07
02:57:26.701,0.06
02:57:26.702,0.06
02:57:26.703,0.05
02:57:26.704,0.06
02:57:26.705,0.05
02:57:26.706,0.04
02:57:26.707,0.04
02:57:26.708,0.05
02:57:26.709,0.05
02:57:26.710,0.05
02:57:26.711,0.04
02:57:26.712,0.04
02:57:26.713,0.05
02:57:26.714,0.05
02:57:26.715,0.06
02:57:26.716,0.06
02:57:26.717,0.06
02:57:26.718,0.07
02:57:26.719,0.06
02:57:26.720,0.06
02:57:26.722,0.06
02:57:26.723,0.05
02:57:26.724,0.06
02:57:26.725,0.06
02:57:26.727,0.06
02:57:26.728,0.06
02:57:26.729,0.05
02:57:26.730,0.05
02:57:26.731,0.05
02:57:26.733,0.05
02:57:26.734,0.05
02:57:26.734,0.06
02:57:26.735,0.05
02:57:26.736,0.06
02:57:26.737,0.06
02:57:26.738,0.06
02:57:26.739,0.05
02:57:26.740,0.05
02:57:26.741,0.05
02:57:26.742,0.05
02:57:26.743,0.05
02:57:26.744,0.06
02:57:26.745,0.06
02:57:26.746,0.05
02:57:26.747,0.05
02:57:26.748,0.06
02:57:26.749,0.05
02:57:26.750,0.06
02:57:26.751,0.06
02:57:26.752,0.06
02:57:26.753,0.05
02:57:26.754,0.05
02:57:26.754,0.05
02:57:26.755,0.05
02:57:26.756,0.06
02:57:26.757,0.05
02:57:26.758,0.05
02:57:26.758,0.05
02:57:26.759,0.05
02:57:26.760,0.05
02:57:26.761,0.05
02:57:26.762,0.06
02:57:26.763,0.05
02:57:26.764,0.05
02:57:26.764,0.06
02:57:26.766,0.05
02:57:26.766,0.05
02:57:26.767,0.05
02:57:26.768,0.04
02:57:26.769,0.04
02:57:26.770,0.04
02:57:26.771,0.05
02:57:26.772,0.05
02:57:26.773,0.06
02:57:26.774,0.06
02:57:26.775,0.05
02:57:26.776,0.05
02:57:26.777,0.04
02:57:26.778,0.04
02:57:26.779,0.06
02:57:26.780,0.05
02:57:26.781,0.04
02:57:26.782,0.05
02:57:26.783,0.05
02:57:26.783,0.05
02:57:26.784,0.05
02:57:26.785,0.05
02:57:26.786,0.05
02:57:26.786,0.05
02:57:26.787,0.05
02:57:26.788,0.05
02:57:26.789,0.05
02:57:26.790,0.05
02:57:26.791,0.06
02:57:26.792,0.06
02:57:26.792,0.06
02:57:26.793,0.05
02:57:26.794,0.04
02:57:26.795,0.04
02:57:26.796,0.05
02:57:26.797,0.05
02:57:26.798,0.05
02:57:26.800,0.06
02:57:26.802,0.06
02:57:26.803,0.06
02:57:26.804,0.06
02:57:26.806,0.06
02:57:26.806,0.06
02:57:26.807,0.05
02:57:26.808,0.06
02:57:26.810,0.06
02:57:26.811,0.05
02:57:26.812,0.06
02:57:26.813,0.06
02:57:26.814,0.05
02:57:26.815,0.06
02:57:26.817,0.06
02:57:26.818,0.07
02:57:26.819,0.07
02:57:26.820,0.07
02:57:26.821,0.07
02:57:26.822,0.07
02:57:26.823,0.07
02:57:26.824,0.07
02:57:26.824,0.07
02:57:26.825,0.06
02:57:26.826,0.06
02:57:26.827,0.06
02:57:26.828,0.06
02:57:26.829,0.06
02:57:26.830,0.06
02:57:26.831,0.05
02:57:26.832,0.06
02:57:26.833,0.06
02:57:26.834,0.07
02:57:26.835,0.07
02:57:26.836,0.06
02:57:26.836,0.06
02:57:26.838,0.06
02:57:26.838,0.06
02:57:26.839,0.05
02:57:26.840,0.05
02:57:26.841,0.05
02:57:26.842,0.05
02:57:26.843,0.06
02:57:26.843,0.06
02:57:26.844,0.06
02:57:26.845,0.05
02:57:26.846,0.06
02:57:26.847,0.06
02:57:26.848,0.06
02:57:26.848,0.06
