time, data
00:48:55.669,-0.00
00:48:55.670,-0.00
00:48:55.671,-0.00
00:48:55.672,-0.00
00:48:55.673,-0.00
00:48:55.673,-0.01
00:48:55.674,-0.01
00:48:55.675,-0.01
00:48:55.675,-0.00
00:48:55.676,-0.01
00:48:55.676,-0.01
00:48:55.677,-0.01
00:48:55.678,-0.01
00:48:55.678,-0.01
00:48:55.679,-0.00
00:48:55.680,-0.00
00:48:55.680,-0.00
00:48:55.681,-0.00
00:48:55.681,-0.00
00:48:55.682,-0.00
00:48:55.683,-0.00
00:48:55.684,-0.01
00:48:55.684,-0.01
00:48:55.685,-0.01
00:48:55.686,-0.01
00:48:55.686,-0.01
00:48:55.687,-0.01
00:48:55.688,-0.01
00:48:55.688,-0.01
00:48:55.689,-0.01
00:48:55.692,-0.01
00:48:55.779,-0.00
00:48:55.867,-0.01
00:48:55.954,-0.01
00:48:56.42,-0.01
00:48:56.129,-0.00
00:48:56.216,0.00
00:48:56.304,0.00
00:48:56.392,-0.00
00:48:56.481,-0.00
00:48:56.567,-0.00
00:48:56.654,-0.01
00:48:56.740,-0.01
00:48:56.828,-0.01
00:48:56.915,-0.01
00:48:57.2,-0.01
00:48:57.91,-0.01
00:48:57.177,-0.01
00:48:57.265,-0.01
00:48:57.352,-0.01
00:48:57.439,-0.01
00:48:57.527,-0.01
00:48:57.620,-0.01
00:48:57.703,-0.00
00:48:57.790,-0.00
00:48:57.876,-0.00
00:48:57.965,-0.00
00:48:58.52,-0.00
00:48:58.138,0.00
00:48:58.225,-0.00
00:48:58.314,-0.00
00:48:58.400,-0.00
00:48:58.487,-0.00
00:48:58.576,-0.00
00:48:58.662,-0.01
00:48:58.748,-0.01
00:48:58.837,-0.00
00:48:58.926,0.00
00:48:59.13,0.00
00:48:59.101,0.00
00:48:59.188,0.01
00:48:59.276,0.01
00:48:59.362,0.01
00:48:59.448,0.01
00:48:59.536,0.00
00:48:59.983,-0.00
00:49:00.60,-0.00
00:49:00.147,-0.00
00:49:00.236,-0.00
00:49:00.323,-0.01
00:49:00.412,-0.01
00:49:00.498,-0.01
00:49:00.585,-0.00
00:49:00.671,0.00
00:49:00.759,-0.00
00:49:00.846,-0.00
00:49:00.934,-0.01
00:49:01.22,-0.01
00:49:01.109,-0.01
00:49:01.196,-0.01
00:49:01.284,-0.00
00:49:01.372,-0.00
00:49:01.460,-0.00
00:49:01.547,-0.00
00:49:01.633,-0.00
00:49:01.719,-0.01
00:49:01.807,-0.00
00:49:01.894,-0.00
00:49:01.982,-0.01
00:49:02.70,-0.00
00:49:02.157,0.00
00:49:02.244,-0.00
00:49:02.331,-0.00
00:49:02.418,0.00
00:49:02.505,0.01
00:49:02.595,0.01
00:49:02.681,0.00
00:49:02.770,0.01
00:49:02.856,0.01
00:49:02.944,0.02
00:49:03.31,0.03
00:49:03.117,0.04
00:49:03.204,0.04
00:49:03.293,0.05
00:49:03.380,0.07
00:49:03.466,0.08
00:49:03.554,0.09
00:49:03.642,0.09
00:49:03.729,0.10
00:49:03.823,0.11
00:49:03.916,0.12
00:49:03.990,0.13
00:49:04.78,0.14
00:49:04.165,0.15
00:49:04.253,0.15
00:49:04.340,0.17
00:49:04.428,0.18
00:49:04.516,0.20
00:49:04.603,0.22
00:49:04.689,0.23
00:49:04.777,0.24
00:49:04.864,0.25
00:49:04.952,0.27
00:49:05.39,0.28
00:49:05.127,0.29
00:49:05.220,0.30
00:49:05.302,0.31
00:49:05.389,0.32
00:49:05.478,0.34
00:49:05.564,0.35
00:49:05.651,0.37
00:49:05.739,0.38
00:49:05.825,0.39
00:49:05.912,0.39
00:49:06.1,0.40
00:49:06.87,0.42
00:49:06.174,0.43
00:49:06.262,0.45
00:49:06.349,0.45
00:49:06.436,0.46
00:49:06.526,0.47
00:49:06.613,0.49
00:49:06.700,0.51
00:49:06.787,0.52
00:49:06.874,0.52
00:49:06.961,0.54
00:49:07.48,0.55
00:49:07.135,0.56
00:49:07.223,0.57
00:49:07.311,0.59
00:49:07.398,0.60
00:49:07.485,0.61
00:49:07.573,0.62
00:49:07.591,Armed
00:49:07.592,0.62
00:49:07.660,0.63
00:49:07.748,0.64
00:49:07.836,0.67
00:49:07.923,0.68
00:49:08.10,0.69
00:49:08.98,0.70
00:49:08.184,0.71
00:49:08.272,0.72
00:49:08.358,0.73
00:49:08.446,0.75
00:49:08.533,0.76
00:49:08.622,0.77
00:49:08.707,0.78
00:49:08.796,0.80
00:49:08.883,0.81
00:49:08.969,0.81
00:49:09.65,0.82
00:49:09.147,0.83
00:49:09.234,0.84
00:49:09.321,0.85
00:49:09.410,0.87
00:49:09.495,0.88
00:49:09.581,0.88
00:49:09.669,0.89
00:49:09.756,0.91
00:49:09.844,0.92
00:49:09.932,0.93
00:49:10.19,0.94
00:49:10.106,0.94
00:49:10.192,0.95
00:49:10.281,0.96
00:49:10.368,0.98
00:49:10.457,0.99
00:49:10.543,1.00
00:49:10.631,1.01
00:49:10.720,1.03
00:49:10.805,1.03
00:49:10.892,1.04
00:49:10.979,1.05
00:49:11.67,1.06
00:49:11.154,1.07
00:49:11.241,1.08
00:49:11.329,1.09
00:49:11.416,1.10
00:49:11.503,1.11
00:49:11.591,1.12
00:49:11.678,1.13
00:49:11.766,1.14
00:49:11.854,1.16
00:49:11.940,1.17
00:49:12.28,1.17
00:49:12.115,1.18
00:49:12.202,1.19
00:49:12.290,1.21
00:49:12.377,1.22
00:49:12.463,1.23
00:49:12.552,1.24
00:49:12.639,1.25
00:49:12.726,1.26
00:49:12.814,1.27
00:49:12.901,1.28
00:49:12.989,1.29
00:49:13.76,1.30
00:49:13.163,1.32
00:49:13.250,1.33
00:49:13.338,1.34
00:49:13.424,1.35
00:49:13.512,1.37
00:49:13.599,1.38
00:49:13.687,1.40
00:49:13.775,1.41
00:49:13.863,1.42
00:49:13.949,1.44
00:49:14.43,1.45
00:49:14.125,1.46
00:49:14.213,1.47
00:49:14.300,1.48
00:49:14.388,1.49
00:49:14.475,1.50
00:49:14.561,1.52
00:49:14.648,1.53
00:49:14.735,1.54
00:49:14.824,1.56
00:49:14.910,1.57
00:49:14.997,1.59
00:49:15.85,1.60
00:49:15.172,1.61
00:49:15.259,1.62
00:49:15.347,1.64
00:49:15.434,1.66
00:49:15.523,1.67
00:49:15.610,1.68
00:49:15.698,1.69
00:49:15.785,1.70
00:49:15.871,1.71
00:49:15.958,1.73
00:49:16.46,1.74
00:49:16.132,1.76
00:49:16.220,1.77
00:49:16.308,1.79
00:49:16.395,1.80
00:49:16.482,1.82
00:49:16.570,1.83
00:49:16.657,1.85
00:49:16.744,1.86
00:49:16.833,1.87
00:49:16.920,1.89
00:49:17.8,1.90
00:49:17.95,1.91
00:49:17.182,1.92
00:49:17.268,1.94
00:49:17.356,1.95
00:49:17.444,1.97
00:49:17.530,1.98
00:49:17.618,2.00
00:49:17.705,2.01
00:49:17.793,2.02
00:49:17.881,2.03
00:49:17.966,2.05
00:49:18.56,2.06
00:49:18.143,2.08
00:49:18.231,2.10
00:49:18.318,2.11
00:49:18.405,2.13
00:49:18.491,2.14
00:49:18.579,2.15
00:49:18.666,2.16
00:49:18.753,2.18
00:49:18.841,2.20
00:49:18.928,2.21
00:49:19.15,2.22
00:49:19.103,2.24
00:49:19.190,2.26
00:49:19.278,2.28
00:49:19.366,2.30
00:49:19.452,2.31
00:49:19.541,2.32
00:49:19.628,2.33
00:49:19.716,2.35
00:49:19.803,2.37
00:49:19.889,2.39
00:49:19.975,2.40
00:49:20.65,2.42
00:49:20.150,2.44
00:49:20.238,2.45
00:49:20.327,2.47
00:49:20.413,2.49
00:49:20.499,2.50
00:49:20.588,2.52
00:49:20.676,2.54
00:49:20.764,2.55
00:49:20.851,2.57
00:49:20.937,2.59
00:49:21.27,2.60
00:49:21.112,2.63
00:49:21.200,2.64
00:49:21.287,2.66
00:49:21.374,2.68
00:49:21.461,2.70
00:49:21.549,2.71
00:49:21.635,2.72
00:49:21.723,2.74
00:49:21.811,2.76
00:49:21.899,2.77
00:49:21.988,2.79
00:49:22.74,2.82
00:49:22.161,2.84
00:49:22.250,2.85
00:49:22.335,2.87
00:49:22.423,2.89
00:49:22.509,2.91
00:49:22.597,2.93
00:49:22.684,2.95
00:49:22.771,2.97
00:49:22.859,2.98
00:49:22.946,3.00
00:49:23.40,3.02
00:49:23.122,3.04
00:49:23.208,3.05
00:49:23.297,3.07
00:49:23.383,3.09
00:49:23.470,3.11
00:49:23.559,3.13
00:49:23.645,3.14
00:49:23.732,3.16
00:49:23.820,3.18
00:49:23.908,3.20
00:49:23.994,3.22
00:49:24.82,3.24
00:49:24.170,3.27
00:49:24.256,3.29
00:49:24.351,3.31
00:49:24.432,3.33
00:49:24.520,3.35
00:49:24.607,3.37
00:49:24.694,3.38
00:49:24.780,3.40
00:49:24.868,3.43
00:49:24.955,3.45
00:49:25.43,3.46
00:49:25.131,3.48
00:49:25.217,3.50
00:49:25.306,3.52
00:49:25.393,3.54
00:49:25.479,3.56
00:49:25.567,3.59
00:49:25.655,3.61
00:49:25.749,3.63
00:49:25.830,3.65
00:49:25.917,3.68
00:49:26.6,3.70
00:49:26.92,3.72
00:49:26.178,3.73
00:49:26.266,3.75
00:49:26.353,3.77
00:49:26.440,3.79
00:49:26.528,3.82
00:49:26.615,3.84
00:49:26.703,3.87
00:49:26.790,3.89
00:49:26.877,3.91
00:49:26.964,3.93
00:49:27.58,3.95
00:49:27.140,3.97
00:49:27.229,3.99
00:49:27.315,4.02
00:49:27.402,4.04
00:49:27.488,4.06
00:49:27.576,4.09
00:49:27.663,4.11
00:49:27.750,4.13
00:49:27.838,4.16
00:49:27.925,4.18
00:49:28.12,4.20
00:49:28.100,4.22
00:49:28.187,4.24
00:49:28.276,4.26
00:49:28.363,4.29
00:49:28.450,4.31
00:49:28.538,4.33
00:49:28.624,4.35
