time, data
01:32:17.511,0.00
01:32:17.512,0.00
01:32:17.513,0.00
01:32:17.514,-0.00
01:32:17.514,-0.00
01:32:17.515,-0.00
01:32:17.518,-0.01
01:32:17.519,-0.00
01:32:17.520,0.00
01:32:17.521,0.01
01:32:17.522,0.00
01:32:17.523,0.00
01:32:17.524,0.00
01:32:17.525,0.01
01:32:17.526,-0.00
01:32:17.526,0.00
01:32:17.527,-0.00
01:32:17.528,-0.00
01:32:17.529,-0.00
01:32:17.530,0.01
01:32:17.531,0.00
01:32:17.532,-0.00
01:32:17.532,-0.00
01:32:17.655,0.00
01:32:17.829,0.00
01:32:18.4,-0.01
01:32:18.180,-0.00
01:32:18.354,-0.00
01:32:18.528,-0.00
01:32:18.703,-0.00
01:32:18.878,-0.00
01:32:19.52,-0.00
01:32:19.227,-0.01
01:32:19.402,-0.00
01:32:19.578,-0.00
01:32:19.752,0.00
01:32:19.926,0.00
01:32:20.101,-0.01
01:32:20.275,-0.00
01:32:20.450,0.00
01:32:20.625,-0.01
01:32:20.801,-0.00
01:32:20.974,-0.00
01:32:21.149,-0.01
01:32:21.325,-0.00
01:32:21.499,0.01
01:32:21.674,-0.00
01:32:21.848,0.00
01:32:22.24,0.01
01:32:22.197,0.01
01:32:22.373,0.00
01:32:22.548,0.00
01:32:22.896,-0.00
01:32:23.345,-0.01
01:32:23.420,-0.01
01:32:23.508,-0.01
01:32:23.596,-0.01
01:32:23.683,-0.01
01:32:23.769,-0.00
01:32:23.857,0.00
01:32:23.944,0.00
01:32:24.31,-0.00
01:32:24.119,0.00
01:32:24.206,0.00
01:32:24.294,-0.00
01:32:24.382,0.00
01:32:24.469,-0.00
01:32:24.557,0.00
01:32:24.644,0.00
01:32:24.731,0.01
01:32:24.819,0.01
01:32:24.906,0.00
01:32:24.992,-0.00
01:32:25.80,-0.00
01:32:25.168,-0.00
01:32:25.255,-0.00
01:32:25.342,-0.00
01:32:25.429,-0.01
01:32:25.516,-0.01
01:32:25.604,-0.01
01:32:25.691,-0.00
01:32:25.780,-0.00
01:32:25.867,-0.01
01:32:25.954,-0.01
01:32:26.42,-0.01
01:32:26.130,-0.01
01:32:26.217,-0.00
01:32:26.303,0.00
01:32:26.390,0.00
01:32:26.477,0.01
01:32:26.566,0.01
01:32:26.652,0.00
01:32:26.739,0.01
01:32:26.827,0.02
01:32:26.914,0.02
01:32:27.3,0.02
01:32:27.89,0.03
01:32:27.179,0.03
01:32:27.265,0.04
01:32:27.352,0.05
01:32:27.440,0.06
01:32:27.528,0.07
01:32:27.613,0.08
01:32:27.700,0.09
01:32:27.788,0.10
01:32:27.875,0.12
01:32:27.962,0.14
01:32:28.50,0.15
01:32:28.138,0.17
01:32:28.225,0.19
01:32:28.313,0.22
01:32:28.400,0.25
01:32:28.488,0.27
01:32:28.575,0.29
01:32:28.664,0.31
01:32:28.751,0.34
01:32:28.837,0.37
01:32:28.924,0.40
01:32:29.11,0.42
01:32:29.99,0.45
01:32:29.185,0.48
01:32:29.274,0.51
01:32:29.360,0.54
01:32:29.447,0.57
01:32:29.536,0.59
01:32:29.622,0.62
01:32:29.710,0.65
01:32:29.799,0.67
01:32:29.886,0.71
01:32:29.973,0.74
01:32:30.61,0.77
01:32:30.146,0.80
01:32:30.164,Armed
01:32:30.165,0.80
01:32:30.333,0.84
01:32:30.509,0.93
01:32:30.683,0.97
01:32:30.858,1.01
01:32:31.33,1.04
01:32:31.208,1.06
01:32:31.381,1.10
01:32:31.557,1.13
01:32:31.731,1.17
01:32:31.906,1.21
01:32:32.81,1.24
01:32:32.256,1.27
01:32:32.429,1.30
01:32:32.606,1.33
01:32:32.781,1.36
01:32:32.954,1.40
01:32:33.129,1.43
01:32:33.304,1.47
01:32:33.479,1.49
01:32:33.652,1.52
01:32:33.829,1.56
01:32:34.2,1.59
01:32:34.178,1.62
01:32:34.351,1.65
01:32:34.527,1.67
01:32:34.701,1.70
01:32:34.876,1.73
01:32:35.51,1.75
01:32:35.227,1.78
01:32:35.400,1.81
01:32:35.575,1.83
01:32:35.750,1.86
01:32:35.924,1.89
01:32:36.99,1.93
01:32:36.274,1.96
01:32:36.450,1.98
01:32:36.624,2.02
01:32:36.798,2.05
01:32:36.973,2.08
01:32:37.147,2.10
01:32:37.322,2.12
01:32:37.497,2.15
01:32:37.672,2.18
01:32:37.848,2.21
01:32:38.21,2.24
01:32:38.195,2.27
