time, data
02:13:25.356,-0.01
02:13:25.531,0.00
02:13:25.706,0.01
02:13:25.881,-0.00
02:13:26.55,0.01
02:13:26.229,0.00
02:13:26.405,-0.01
02:13:26.579,0.01
02:13:26.754,0.01
02:13:26.928,0.00
02:13:27.104,-0.00
02:13:27.279,0.01
02:13:27.459,0.01
02:13:27.630,0.02
02:13:27.802,0.01
02:13:27.977,0.02
02:13:28.152,0.02
02:13:28.328,0.02
02:13:28.501,0.03
02:13:28.675,0.02
02:13:28.851,0.01
02:13:29.26,0.01
02:13:29.199,0.02
02:13:29.374,0.02
02:13:29.550,0.02
02:13:29.723,0.02
02:13:29.898,0.03
02:13:30.74,0.04
02:13:30.248,0.02
02:13:30.422,0.02
02:13:30.597,0.03
02:13:30.773,0.03
02:13:30.946,0.03
02:13:31.122,0.03
02:13:31.296,0.02
02:13:31.473,0.02
02:13:31.646,0.03
02:13:31.820,0.02
02:13:31.995,0.04
02:13:32.170,0.03
02:13:32.345,0.02
02:13:32.519,0.03
02:13:32.968,0.03
02:13:33.47,0.02
02:13:33.130,0.02
02:13:33.218,0.02
02:13:33.306,0.01
02:13:33.392,0.01
02:13:33.481,0.01
02:13:33.567,0.02
02:13:33.655,0.02
02:13:33.744,0.02
02:13:33.829,0.01
02:13:33.917,0.01
02:13:34.6,0.02
02:13:34.93,0.03
02:13:34.181,0.04
02:13:34.268,0.03
02:13:34.356,0.03
02:13:34.440,0.03
02:13:34.528,0.03
02:13:34.615,0.04
02:13:34.703,0.05
02:13:34.791,0.04
02:13:34.877,0.03
02:13:34.965,0.02
02:13:35.52,0.02
02:13:35.139,0.02
02:13:35.234,0.03
02:13:35.315,0.03
02:13:35.404,0.03
02:13:35.490,0.03
02:13:35.579,0.03
02:13:35.663,0.03
02:13:35.752,0.04
02:13:35.839,0.05
02:13:35.926,0.05
02:13:36.14,0.05
02:13:36.100,0.04
02:13:36.188,0.03
02:13:36.275,0.04
02:13:36.363,0.04
02:13:36.449,0.04
